N,P,K,Ph,Temperature(C),Rainfall(cm),Humidity,Crop
61,62,49,6.4,30,94,70,papaya
37,26,39,6.5,32,67,66,pomegranate
112,7,52,6.8,20,76,72,watermelon
19,26,31,6.9,35,171,80,coconut
39,24,26,6.7,33,150,77,coconut
16,79,15,6.3,30,78,66,lentil
14,24,25,6.5,21,161,79,coconut
8,42,23,6.6,31,91,61,mothbeans
32,37,17,7.2,26,58,67,mothbeans
86,8,55,6.2,20,83,78,muskmelon
36,57,52,6.8,29,126,75,papaya
12,138,197,6.5,16,88,65,grapes
64,52,46,6.3,30,145,78,papaya
4,29,33,6.7,20,184,80,coconut
32,42,18,7.3,33,95,63,mothbeans
35,14,30,7.1,27,185,76,coconut
28,39,26,6.1,34,141,75,mango
117,40,24,6.8,29,59,68,cotton
109,89,54,6.6,27,185,80,banana
21,67,17,6.8,29,52,65,kidneybeans
40,70,55,6.8,23,95,79,papaya
22,13,32,7.4,26,157,74,coconut
0,71,20,6.5,27,54,67,kidneybeans
18,37,25,7.1,30,134,70,mango
4,40,17,6.1,23,80,60,mungbean
25,74,22,7.3,23,62,65,blackgram
35,75,83,6.7,26,28,60,chickpea
40,9,15,7,28,149,64,orange
0,25,33,6.5,29,152,75,coconut
0,138,204,6.8,6,132,66,apple
118,87,53,5.6,23,197,72,banana
80,59,37,5.6,31,100,71,rice
52,53,48,6.8,30,118,75,papaya
116,93,54,6.1,21,177,80,banana
86,28,53,6.7,20,88,74,watermelon
26,141,205,6.8,10,145,62,apple
63,45,42,6.6,21,144,78,rice
90,75,47,6.6,22,190,70,banana
19,54,18,6.2,22,76,63,mungbean
88,24,54,6.7,20,92,76,muskmelon
8,47,23,6.2,33,95,66,mungbean
21,44,19,6.4,21,89,62,mungbean
55,54,46,6.3,20,83,70,papaya
92,54,36,6.1,27,118,71,rice
99,60,19,6.1,22,71,57,maize
62,46,25,6.2,20,81,59,maize
82,92,47,6.2,20,189,80,banana
22,78,23,7.4,35,74,69,pigeonpeas
11,58,23,7,22,81,63,lentil
106,24,51,6.6,20,54,75,watermelon
55,60,20,6.3,24,66,69,blackgram
50,67,20,6.6,25,89,60,blackgram
30,144,198,6.1,13,46,61,grapes
11,135,198,6.5,8,135,62,apple
40,58,15,7.2,34,71,64,mothbeans
93,85,53,6.6,24,196,73,banana
2,121,199,6.5,10,94,63,grapes
111,26,45,6.3,20,61,72,muskmelon
106,29,46,6.1,20,52,70,muskmelon
108,53,25,6.8,21,71,63,cotton
20,139,200,6.9,8,144,61,apple
87,36,42,6.4,29,117,77,rice
40,61,23,6.9,30,64,64,kidneybeans
85,26,53,6,20,63,74,watermelon
101,91,47,6.7,27,199,77,banana
37,15,6,6.6,28,149,67,orange
24,70,17,6.1,32,59,64,blackgram
76,35,37,6.6,24,121,75,rice
54,64,25,7.1,28,72,62,blackgram
53,67,18,6.5,23,70,67,blackgram
39,5,26,6.3,34,152,70,coconut
16,49,23,6.3,29,99,60,mungbean
20,11,27,6.7,22,188,76,coconut
65,69,53,6.5,29,100,76,papaya
87,16,53,6.4,20,84,80,muskmelon
49,79,19,7.4,26,62,68,blackgram
8,30,28,6.5,23,161,74,coconut
60,60,84,7.1,26,79,66,chickpea
11,76,17,6.8,23,84,61,lentil
40,12,15,7,26,149,64,orange
21,7,30,6.9,27,157,80,coconut
136,49,20,6.3,27,88,60,cotton
31,48,23,6.2,30,83,61,mungbean
109,27,50,6.6,20,75,78,muskmelon
15,60,19,5.6,29,52,62,pigeonpeas
27,134,199,6.3,7,114,63,apple
51,50,51,6,21,104,79,papaya
13,132,204,7,11,92,60,grapes
56,78,16,7.3,21,92,60,blackgram
39,69,16,7.3,30,67,63,blackgram
1,65,23,6.4,30,69,70,pigeonpeas
69,56,36,5.8,21,129,77,rice
76,36,22,6.7,22,78,51,maize
97,25,50,6.2,20,67,77,muskmelon
34,16,44,6.5,32,53,66,pomegranate
77,57,43,6.4,33,103,70,rice
110,81,55,5.7,22,157,75,banana
38,34,32,7.2,25,121,77,mango
51,56,45,6.2,29,148,79,papaya
5,60,19,6.8,22,77,63,lentil
6,124,203,6.4,5,118,69,apple
113,41,23,6.5,27,96,67,cotton
34,57,24,6.8,29,66,62,kidneybeans
40,62,23,7.1,22,94,62,pigeonpeas
136,47,17,6.1,20,70,67,cotton
40,78,21,6.2,27,93,67,kidneybeans
42,77,23,6.8,31,56,65,blackgram
100,84,47,6.6,20,162,78,banana
92,87,55,5.9,28,185,75,banana
38,63,48,6.3,29,140,79,papaya
32,17,31,6.3,33,159,71,mango
77,53,43,6.1,26,117,73,rice
81,28,45,7,20,92,78,watermelon
30,22,25,7.5,33,160,75,mango
88,85,46,5.9,24,193,79,banana
23,18,25,7.4,35,193,75,mango
120,15,45,7,20,52,78,watermelon
39,58,19,7,21,76,64,blackgram
39,64,23,7.1,35,82,68,blackgram
3,75,22,7.3,26,72,64,pigeonpeas
100,14,54,6,20,79,75,muskmelon
34,59,25,6.4,29,74,69,kidneybeans
137,43,24,6.5,24,100,61,cotton
114,23,51,6.2,20,91,76,muskmelon
62,50,23,7.2,25,68,55,maize
38,65,17,6.1,26,75,64,lentil
67,46,17,6.7,29,97,57,maize
121,54,18,6.9,25,76,61,cotton
21,67,24,6.8,26,95,64,kidneybeans
23,77,24,6.1,26,86,69,kidneybeans
109,16,45,6.4,20,98,79,watermelon
25,64,17,5.8,24,76,62,pigeonpeas
37,63,25,5.9,24,80,67,pigeonpeas
91,40,23,6.4,30,68,55,maize
24,60,21,6.8,25,83,61,kidneybeans
56,55,82,6.1,30,64,70,chickpea
38,120,197,6.9,19,26,69,grapes
97,30,50,7,20,59,75,watermelon
36,65,78,6.2,27,86,61,chickpea
13,141,199,6.7,6,80,67,apple
22,16,33,6.4,21,197,70,coconut
33,59,53,6.2,24,149,72,papaya
14,17,5,6.9,23,133,64,orange
95,15,49,6.6,20,75,80,watermelon
118,16,51,6.6,20,95,74,muskmelon
79,54,18,6.5,29,83,51,maize
58,59,49,7,23,104,76,papaya
92,25,46,6.5,20,77,79,muskmelon
14,10,41,6.1,31,79,68,pomegranate
32,56,24,6.3,24,54,68,blackgram
1,36,27,7.2,34,186,71,mango
38,78,25,6.8,22,97,67,kidneybeans
17,145,201,6.6,19,93,69,grapes
7,15,36,6.7,32,77,62,pomegranate
29,7,7,6.6,30,127,63,orange
5,60,24,6.7,21,62,68,mungbean
107,5,45,6.5,20,86,71,muskmelon
14,131,203,6.9,13,29,61,grapes
2,27,32,6.5,26,147,78,mango
102,24,45,6.3,20,69,72,watermelon
27,29,26,6.3,27,150,74,mango
30,66,16,6.7,27,63,67,blackgram
41,52,52,6.6,30,107,71,papaya
20,11,31,6.1,32,166,77,coconut
112,74,52,5.6,25,179,73,banana
105,85,52,6.2,23,167,80,banana
50,66,47,6.8,29,134,77,papaya
61,51,45,6.1,23,135,77,papaya
29,70,23,6.5,22,82,65,lentil
50,70,81,7.3,28,32,62,chickpea
36,13,12,6.5,23,77,63,orange
6,57,25,6.1,27,92,64,mothbeans
71,40,44,6,21,125,77,rice
29,44,18,6.8,20,89,61,mungbean
22,48,25,6.6,30,91,65,mothbeans
50,77,18,6.3,35,58,67,blackgram
0,55,24,6.5,24,60,65,mungbean
102,43,20,6.4,24,67,60,cotton
51,63,21,6.7,25,97,61,blackgram
26,145,198,6.3,5,135,66,apple
86,46,15,6,24,95,59,maize
109,58,17,6,21,50,70,cotton
32,16,27,7.1,30,159,78,mango
1,59,21,6.1,23,52,63,mothbeans
33,127,199,6.4,17,94,63,grapes
43,68,49,6.1,29,117,75,papaya
25,29,31,6,21,163,77,coconut
5,141,195,6.4,9,130,65,apple
12,32,29,6.7,20,156,80,mango
26,29,35,6,35,100,61,pomegranate
112,90,48,6.6,20,152,74,banana
78,52,15,6.6,28,65,51,maize
11,29,45,6.8,36,81,64,pomegranate
36,63,24,6.2,24,83,68,lentil
17,14,30,6.2,25,195,74,coconut
137,53,18,6.7,23,74,66,cotton
115,23,47,6.1,20,78,74,muskmelon
15,122,197,6,10,96,70,grapes
35,67,22,6.4,21,91,66,lentil
55,60,22,6.6,26,56,70,blackgram
7,126,199,6.2,10,90,65,grapes
34,20,7,6.1,23,125,61,orange
32,34,35,6.7,28,180,71,mango
38,37,28,6.2,23,139,70,mango
45,77,21,7.5,26,93,66,blackgram
5,41,17,6.2,29,83,60,mungbean
11,122,195,6.8,10,113,60,apple
10,132,195,6.1,6,131,61,apple
7,19,28,7.2,27,192,74,coconut
35,59,16,6.1,35,61,70,pigeonpeas
33,141,201,6,6,117,66,apple
102,52,25,6.8,28,56,69,cotton
93,39,25,6.2,24,59,53,maize
97,49,38,5.5,29,103,70,rice
67,44,20,7.4,23,62,58,maize
39,26,33,6.8,23,154,72,mango
0,144,195,6.7,5,77,61,apple
30,80,23,6.4,29,58,69,kidneybeans
32,28,27,7.3,24,154,72,mango
106,59,15,6.4,25,58,69,cotton
6,7,41,6.9,20,86,70,pomegranate
52,58,50,6.7,24,83,79,papaya
10,69,15,5.7,35,62,63,pigeonpeas
38,9,5,6.2,29,108,70,orange
14,29,25,7.3,23,159,74,coconut
13,30,14,6.1,26,121,70,orange
95,16,51,6.3,20,87,79,watermelon
3,68,17,6.7,20,99,68,pigeonpeas
37,127,199,6.5,12,56,62,grapes
26,74,21,6.1,29,54,60,lentil
25,38,29,7,28,133,74,mango
81,46,22,6.1,20,53,55,maize
102,7,52,6.5,20,61,77,muskmelon
18,128,200,6,20,76,68,grapes
33,75,24,6.1,24,52,70,lentil
29,60,15,6.5,30,68,68,lentil
35,130,198,6.5,6,129,66,apple
119,19,50,6,20,88,76,muskmelon
29,71,18,6.7,22,97,70,kidneybeans
23,58,19,6.8,24,75,62,kidneybeans
39,19,33,7.1,30,157,76,coconut
14,67,19,6.9,20,61,66,kidneybeans
118,16,52,6.7,20,90,80,watermelon
7,6,30,6.6,20,154,75,coconut
10,74,21,7.2,35,74,61,pigeonpeas
8,66,23,6.3,29,74,63,kidneybeans
20,29,36,6.9,23,55,63,pomegranate
88,58,39,5.7,27,128,80,rice
40,55,77,6.1,24,83,64,chickpea
26,121,204,6.1,20,97,60,grapes
117,41,20,6.8,29,70,64,cotton
9,75,19,7.4,27,63,68,pigeonpeas
22,132,205,6.4,13,35,60,grapes
11,132,204,6.6,10,79,61,apple
117,91,54,5.7,26,165,78,banana
91,60,16,7.5,24,55,52,maize
98,40,16,7.1,20,84,51,maize
24,25,38,6.3,24,60,69,pomegranate
47,67,48,6.9,25,85,72,papaya
101,36,21,6.7,30,61,60,cotton
2,29,45,6.2,36,93,64,pomegranate
63,69,48,6.2,25,84,78,papaya
25,74,25,5.7,31,66,61,pigeonpeas
36,133,197,6.7,19,43,62,grapes
107,52,25,6.7,27,81,68,cotton
28,50,17,6.7,34,96,61,mungbean
100,8,47,6.4,20,97,77,muskmelon
59,60,25,6.2,26,72,61,blackgram
35,127,196,6.9,5,112,62,apple
11,43,17,6.7,33,73,68,mungbean
131,40,25,6.7,28,92,66,cotton
12,73,20,7.1,26,74,60,pigeonpeas
52,59,76,7.1,22,44,63,chickpea
50,70,79,6.4,21,87,70,chickpea
109,9,49,6.9,20,85,80,watermelon
42,67,25,6.3,24,72,63,blackgram
120,73,51,5.6,20,158,74,banana
29,17,12,6.7,20,90,66,orange
91,42,16,6.1,23,51,50,maize
33,45,52,6.7,26,81,75,papaya
125,38,25,6.2,22,59,63,cotton
115,84,51,5.9,23,192,77,banana
40,10,14,6.8,24,121,65,orange
108,74,53,6.8,23,152,72,banana
32,45,23,6.9,22,71,64,mothbeans
29,26,30,7.3,35,158,70,coconut
16,20,33,7.4,27,180,73,coconut
72,58,15,6.5,26,93,60,maize
12,26,26,7.1,29,160,80,coconut
114,44,19,6.9,28,61,65,cotton
27,20,40,6.5,37,75,67,pomegranate
11,70,17,6.2,29,55,61,lentil
99,53,25,7.5,23,62,56,maize
47,46,51,6.7,21,101,78,papaya
108,40,22,6.3,28,80,63,cotton
41,47,46,6.4,24,97,80,papaya
5,41,22,6.1,31,90,60,mothbeans
39,55,18,6.2,35,75,62,mungbean
29,25,37,6.2,36,62,67,pomegranate
76,44,15,7,21,75,55,maize
99,85,53,6.4,27,168,75,banana
19,125,199,6.4,12,85,61,grapes
14,64,19,6.9,26,60,70,kidneybeans
21,124,197,7,9,113,61,apple
67,57,52,6.9,30,78,70,papaya
20,63,79,6.4,24,76,66,chickpea
74,52,25,6.4,26,63,51,maize
92,78,53,6.1,21,180,73,banana
28,139,201,6.9,10,113,61,apple
7,52,22,6.9,33,56,62,mothbeans
51,60,80,7.5,30,93,60,chickpea
107,73,54,6.1,28,172,70,banana
27,69,19,6.4,23,72,60,lentil
94,39,40,6.2,27,104,75,rice
21,19,13,6.3,25,128,61,orange
3,13,40,6.4,32,70,62,pomegranate
45,63,22,6.7,20,81,65,blackgram
36,46,46,6.9,21,131,75,papaya
94,26,55,6.3,20,73,77,muskmelon
96,86,49,6.9,25,190,74,banana
56,66,25,6.3,23,50,60,blackgram
14,69,17,6,21,74,69,kidneybeans
64,69,46,6.7,27,145,75,papaya
40,40,26,7.4,35,153,75,mango
26,63,18,6.2,23,85,68,pigeonpeas
117,36,24,6.6,27,53,65,cotton
80,46,38,5.9,23,124,80,rice
40,20,34,6.2,29,183,72,coconut
18,20,11,6.3,20,150,63,orange
5,139,195,6.6,13,86,70,grapes
34,68,51,6.4,30,75,74,papaya
91,21,45,6.2,20,92,80,watermelon
28,24,25,7.3,27,180,73,coconut
39,18,37,6.4,35,63,67,pomegranate
98,78,53,6.5,21,157,71,banana
30,75,17,6.2,22,79,66,pigeonpeas
76,40,45,6.5,25,147,77,rice
11,37,25,6,34,110,73,mango
28,75,22,6.7,21,77,68,kidneybeans
42,58,52,6.4,23,142,73,papaya
14,20,11,6.4,29,123,61,orange
34,63,82,6.1,22,98,62,chickpea
10,38,15,6.1,25,92,62,mungbean
98,49,44,6.1,33,131,80,rice
10,137,201,6.9,6,139,65,apple
2,41,23,7.5,22,52,66,mothbeans
12,51,17,6.1,24,72,65,mungbean
5,136,200,6,16,29,68,grapes
39,72,81,6.4,26,32,67,chickpea
104,9,53,6.5,20,70,77,muskmelon
34,25,31,6.6,28,182,71,coconut
138,37,16,6.6,28,61,67,cotton
29,37,19,7,28,92,62,mothbeans
8,29,34,6.7,34,108,76,mango
7,60,18,6.5,28,82,68,lentil
85,9,49,6.4,20,56,78,muskmelon
1,22,30,7.3,26,121,79,mango
10,27,41,6,24,98,65,pomegranate
89,42,18,7.2,29,89,57,maize
8,78,21,6.2,23,71,66,kidneybeans
3,58,19,6.3,20,80,67,lentil
38,11,35,6,31,55,66,pomegranate
37,32,32,7.2,20,137,74,mango
84,44,37,6.2,27,101,74,rice
60,56,52,6.8,29,136,76,papaya
41,69,83,6.6,26,30,68,chickpea
82,45,17,6,27,88,56,maize
34,22,43,7,27,66,66,pomegranate
18,125,197,6.1,6,126,69,apple
85,42,21,6,29,55,53,maize
24,28,37,6.4,36,80,70,pomegranate
15,128,204,6.4,6,132,69,apple
110,55,17,6.9,24,88,64,cotton
121,54,17,6.5,26,55,60,cotton
89,24,46,6.2,20,99,70,watermelon
35,77,18,6.7,26,50,67,kidneybeans
103,21,54,6.5,20,95,80,watermelon
120,7,54,6.4,20,68,72,muskmelon
106,13,55,6.3,20,95,75,watermelon
49,69,80,6.7,29,78,64,chickpea
29,143,204,6.1,8,110,64,apple
2,121,205,6.1,6,134,68,apple
29,80,25,6.2,22,89,60,blackgram
82,8,46,7,20,52,75,watermelon
29,66,23,6.1,21,57,62,kidneybeans
25,69,77,6.1,27,28,61,chickpea
30,42,23,7.5,31,73,66,mothbeans
21,16,10,6.2,25,96,69,orange
12,57,24,7.4,23,54,69,mothbeans
31,69,46,6.5,27,107,74,papaya
69,59,25,7.3,21,96,57,maize
6,28,38,6.8,30,95,64,pomegranate
19,19,45,6.4,23,62,64,pomegranate
33,13,36,6.7,29,74,66,pomegranate
84,24,55,6.4,20,62,79,watermelon
1,29,8,6.6,25,116,66,orange
91,24,55,7,20,57,78,muskmelon
97,95,47,6.6,28,162,78,banana
26,67,80,6.5,23,40,64,chickpea
28,67,25,6.5,28,73,70,pigeonpeas
98,40,23,6.3,26,59,52,maize
21,59,81,6.8,29,81,65,chickpea
29,62,78,7,22,64,66,chickpea
31,29,30,7.4,24,180,79,mango
113,60,16,6.2,27,51,70,cotton
44,79,25,6.3,28,65,62,blackgram
17,17,42,6.8,39,83,62,pomegranate
107,91,51,6.3,30,172,73,banana
113,30,53,6.3,20,65,77,muskmelon
40,70,19,6.7,20,66,67,blackgram
21,42,19,6.1,25,72,66,mothbeans
84,89,48,6.6,24,150,71,banana
83,52,35,6,28,149,74,rice
34,66,15,6.6,25,72,61,lentil
3,50,22,6.8,22,93,69,mothbeans
28,59,23,6.2,29,98,62,kidneybeans
33,6,12,6.1,20,121,60,orange
33,140,204,6.4,12,53,65,grapes
36,27,38,6.5,34,100,61,pomegranate
9,63,25,6.8,23,66,65,pigeonpeas
37,40,20,7.3,31,78,66,mothbeans
32,21,40,6.9,21,93,61,pomegranate
3,30,28,7.2,23,151,70,mango
26,57,19,7.1,22,100,61,mothbeans
21,72,23,6.4,21,84,70,kidneybeans
66,57,42,6.2,23,150,80,rice
24,33,31,7.3,20,133,75,mango
23,10,14,6.8,21,139,63,orange
18,11,35,6.9,22,160,80,coconut
10,38,20,7.4,26,88,67,mothbeans
49,78,22,7.3,33,55,67,blackgram
25,64,82,6.4,20,86,64,chickpea
127,38,19,6.2,28,99,69,cotton
13,55,21,7,28,61,61,mothbeans
2,124,199,6.4,7,109,66,apple
74,53,45,6.2,25,114,75,rice
36,55,81,6.3,24,51,61,chickpea
65,36,17,6.8,30,89,58,maize
95,41,18,6,29,94,59,maize
37,9,34,6.5,26,154,73,coconut
38,19,37,6.1,36,59,67,pomegranate
9,69,19,6.8,27,89,65,lentil
22,58,16,6.1,31,65,62,mothbeans
17,138,203,6,10,92,61,apple
55,70,52,6.6,26,129,70,papaya
15,57,16,6.1,23,71,70,lentil
108,17,47,6.8,20,75,74,muskmelon
32,24,33,6.7,21,152,72,coconut
8,69,20,7.1,25,50,64,pigeonpeas
2,66,25,6.8,34,59,68,pigeonpeas
17,19,12,7,29,121,67,orange
2,126,204,6,8,110,60,apple
88,56,40,6.9,28,140,74,rice
33,32,29,6.4,30,102,78,mango
17,13,38,6.3,33,82,68,pomegranate
56,60,24,6.4,34,93,63,blackgram
32,55,16,6.1,27,58,60,kidneybeans
75,46,23,6.2,26,62,53,maize
5,123,199,6,9,102,70,apple
26,121,196,6.2,17,55,65,grapes
37,52,25,6,28,63,60,mungbean
112,78,52,6.9,29,195,77,banana
97,9,46,6.5,20,59,71,watermelon
34,59,22,7.2,22,65,66,mothbeans
81,24,46,6.1,20,62,77,watermelon
20,12,44,6.1,29,80,62,pomegranate
86,93,48,6.6,27,160,74,banana
34,20,35,6.4,26,92,67,pomegranate
38,72,17,5.9,33,57,67,pigeonpeas
116,50,19,6.4,20,96,63,cotton
35,69,15,7.5,27,62,69,pigeonpeas
39,55,23,6.3,29,60,65,lentil
93,43,24,7.5,27,61,52,maize
55,69,83,6.3,21,25,62,chickpea
25,11,26,7.1,27,185,73,coconut
124,36,25,6.7,29,78,61,cotton
80,8,48,6.1,20,100,71,watermelon
11,47,24,6.9,35,53,64,mungbean
103,5,53,6.8,20,65,75,watermelon
8,18,44,6.4,31,67,65,pomegranate
28,11,43,6.2,21,72,66,pomegranate
22,58,78,6.8,26,92,63,chickpea
2,19,25,7.2,33,170,73,coconut
62,64,53,6.2,21,89,75,papaya
33,143,199,6.9,10,92,62,grapes
1,79,15,7,20,65,70,kidneybeans
37,140,202,6.8,7,87,65,apple
32,25,14,6.7,21,113,69,orange
82,40,16,6.8,27,77,56,maize
19,48,24,6.1,30,92,67,mungbean
27,124,198,6.9,10,124,64,apple
26,64,15,6.2,25,67,66,lentil
14,35,35,6.6,23,117,75,mango
13,44,25,6,32,88,67,mothbeans
9,48,23,6.4,27,92,63,mothbeans
16,20,33,7.4,27,183,78,coconut
95,27,46,6.3,20,95,77,watermelon
33,59,22,6.6,29,78,64,mungbean
92,38,25,7,22,58,53,maize
23,124,199,6.8,13,74,68,grapes
32,11,12,6.5,22,113,67,orange
42,59,45,6.3,28,102,72,papaya
52,54,46,6.8,26,119,72,papaya
97,78,50,6.6,23,193,77,banana
0,39,30,7.4,21,183,74,mango
90,7,47,6.7,20,51,77,watermelon
47,45,55,6.5,23,102,77,papaya
36,69,19,6.9,26,91,68,lentil
10,18,14,6.4,26,102,68,orange
10,70,25,6.6,25,85,60,lentil
109,78,46,5.5,24,160,76,banana
34,59,22,6.9,26,72,67,kidneybeans
46,72,83,6.5,24,67,60,chickpea
113,71,49,6.5,26,157,73,banana
101,30,47,6.5,20,88,79,watermelon
17,131,198,6.2,17,80,60,grapes
23,77,25,7,25,69,70,kidneybeans
107,11,53,6.3,20,92,70,watermelon
11,57,16,7.2,27,93,68,mothbeans
59,51,46,6.5,26,103,73,papaya
46,79,16,7.5,30,86,63,blackgram
39,70,18,6.9,23,92,70,lentil
12,71,23,7.5,35,62,63,pigeonpeas
8,49,18,6.3,20,79,67,mothbeans
115,16,53,6.8,20,75,74,muskmelon
19,37,16,6.7,32,97,63,mungbean
75,52,38,6.5,31,122,76,rice
16,71,22,6.1,22,53,62,kidneybeans
68,44,23,6.4,21,92,59,maize
56,65,48,7,29,121,75,papaya
21,12,9,6.7,30,90,70,orange
137,47,23,6.4,21,77,65,cotton
5,73,19,6.8,26,55,68,kidneybeans
44,70,15,6,25,96,68,blackgram
40,57,18,6.9,21,53,60,lentil
8,29,30,6.3,21,165,80,coconut
9,11,44,6.8,24,94,68,pomegranate
12,128,199,6.1,10,79,60,apple
83,54,18,6.6,24,69,53,maize
95,21,47,6.1,20,77,77,watermelon
21,5,41,6,27,68,67,pomegranate
24,65,82,7.2,25,61,65,chickpea
102,83,47,5.7,30,154,75,banana
20,37,21,7,31,91,68,mothbeans
11,25,36,6.4,31,78,60,pomegranate
19,18,11,6.6,29,131,63,orange
13,52,16,6.5,32,92,68,mungbean
0,129,205,6.5,9,126,63,apple
6,65,17,5.6,32,54,64,pigeonpeas
29,77,25,6.8,22,91,60,lentil
9,9,45,6.5,28,94,65,pomegranate
97,5,46,6.1,20,62,70,muskmelon
22,77,20,5.6,27,50,64,pigeonpeas
21,58,16,6.6,21,57,60,kidneybeans
9,51,19,6.3,32,94,68,mungbean
29,135,200,6.8,8,79,69,apple
12,19,26,7,32,180,76,mango
64,52,20,6.8,25,84,56,maize
1,144,203,6.7,20,71,68,grapes
116,50,15,6.7,20,75,63,cotton
113,48,19,6.5,23,93,65,cotton
86,95,51,6.7,30,174,74,banana
27,70,16,7,21,89,69,pigeonpeas
1,40,25,6.8,20,80,65,mungbean
114,37,25,6.7,21,81,70,cotton
99,35,37,6.6,34,135,75,rice
28,75,23,7.3,26,100,64,pigeonpeas
35,56,25,6.2,25,59,62,kidneybeans
3,132,203,6.6,17,80,65,grapes
30,125,204,6.8,12,42,69,grapes
5,62,21,6.5,24,60,70,lentil
31,19,5,6.2,29,103,68,orange
61,55,50,6.3,25,121,74,papaya
98,79,53,5.7,30,178,80,banana
9,63,22,7.2,30,77,65,pigeonpeas
112,76,51,6.2,20,171,71,banana
118,85,49,5.7,23,180,78,banana
19,145,204,6.2,7,108,68,apple
16,27,15,6.6,20,132,63,orange
35,22,30,6.3,28,175,73,coconut
36,10,25,6.9,29,172,72,coconut
109,17,45,6.8,20,79,74,muskmelon
0,45,25,6.1,29,93,62,mungbean
12,68,21,6.4,27,62,63,lentil
34,67,21,6.8,22,57,62,lentil
74,39,42,6.6,25,125,76,rice
62,47,53,6.2,29,91,77,papaya
57,63,48,6.9,29,112,72,papaya
8,52,15,6,28,67,67,mothbeans
12,76,18,6.2,23,74,67,pigeonpeas
27,70,15,7.2,20,70,62,pigeonpeas
87,81,49,6.1,29,194,71,banana
6,46,20,6.4,27,90,70,mothbeans
33,77,16,7.1,25,77,63,blackgram
40,134,196,6.6,10,149,67,apple
